#,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO,NC,RI,DC,DP,TH,NO FACET,NO BARRIER
Females motivation,0,0,0,0,0,0,0,0,0,0,0,0,1
Females lower computer self-efficacy,0,0,0,1,0,1,1,0,0,2,1,0,6
Females risk-averse than males,0,0,0,0,0,0,0,0,0,0,0,0,1
Females process information comprehensively,0,1,0,0,0,1,1,0,1,2,1,0,6
Females learn in process-oriented learning styles,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,0,0,0,0,0,1,2,0,1,2,1,2,0
NC,0,0,0,0,0,2,1,0,0,1,1,2,0
RI,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,0,0,0,0,0,1,0,0,0,0,0,0,0
DP,0,0,0,1,0,2,1,0,0,2,2,2,0
TH,0,0,0,0,0,1,1,0,0,2,0,2,0
NO FACET,0,0,0,0,0,0,0,0,0,0,0,0,0
NO BARRIER,0,0,0,0,0,0,0,0,0,0,0,0,0
